|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	37
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	38
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	39
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	40
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	41
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	42
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	43
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	44
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:33 MonteCarloTreesApp::update[119] 	Currentstep: 	45
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	46
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	47
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	48
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	49
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	50
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	51
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	52
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:34 MonteCarloTreesApp::update[119] 	Currentstep: 	53
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	54
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	55
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	56
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	57
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	58
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	59
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	60
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	61
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:35 MonteCarloTreesApp::update[119] 	Currentstep: 	62
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	63
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	64
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	65
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	66
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	67
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	68
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	69
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:36 MonteCarloTreesApp::update[119] 	Currentstep: 	70
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	71
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	72
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	73
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	74
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	75
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	76
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	77
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	78
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:37 MonteCarloTreesApp::update[119] 	Currentstep: 	79
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	80
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::draw[164] 
|debug  | 2023-12-20.17:05:38 MonteCarloTreesApp::update[119] 	Currentstep: 	81
